percent,invest_on,stock_code
0.9903,VGI,Viettel
0.9576,GAS,PVN
0.9213,BSR,PVN
0.8099,BID,SBV
0.7994,POW,PVN
0.7994,MBS,MBB
0.791,PLC,PLX
0.7556,DCM,PVN
0.748,VCB,SBV
0.6934,VHM,VIC
0.6545,SGP,ACV
0.6446,CTG,SBV
0.6084,VTP,Viettel
0.5138,PVS,PVN
0.5131,PVG,GAS
0.51,PVT,PVN
0.5017,FOX,SCIC
0.4654,FRT,FPT
0.457,FOX,FPT
0.371,NTP,SCIC
0.36,PVC,PVN
0.36,SAB,SCIC
0.36,VNM,SCIC
0.1837,VRE,VIC
0.149,TCB,MSN
0.1476,MBB,Viettel
0.1273,PAN,SSI
0.105,SZC,REE
0.0986,MBB,SCIC
0.091,SGP,CTG
0.0901,ORS,TPB
0.0744,SGP,VPB
0.068,TPB,FPT
0.0575,FPT,SCIC
0.05,ELC,SSI
0.05,TVD,REE
0.05,DBC,SSI
0.048,SBT,VNM
0.045,EIB,VCB
0.044,MBB,VCB
0.036,EIB,VIX
0.034,ABB,VND
0.026,PVT,ACB
0.023,NVB,GMD
0.02,VIB,REE
0.014,VGC,VIX
0.014,PVT,VND
0.014,VCS,SSI
0.013,CEO,VIX
0.012,TPB,SSI
0.011,HDC,VND
0.011,VJC,HDB
0.011,HDB,BID
0.007,EIB,ACB
0.002,HPG,MBS
