percent,invest_on,stock_code
0.9903,VGI,Viettel
0.9576,GAS,PVN
0.9393,TVN,SCIC
0.9213,BSR,PVN
0.8099,BID,NHNN
0.8,GEE,GEX
0.7994,POW,PVN
0.791,PLC,PLX
0.7693,PSD,PET
0.765,ABT,PAN
0.764,MBS,MBB
0.7564,CTS,CTG
0.7556,DCM,PVN
0.748,VCB,NHNN
0.6934,VHM,VIC
0.6894,VLC,VNM
0.6662,PHR,GVR
0.6566,CTR,Viettel
0.6545,SGP,ACV
0.65,TIS,TVN
0.6492,PVP,PVT
0.649,LBM,LHC
0.6449,CTG,NHNN
0.6084,VTP,Viettel
0.5958,DPM,PVN
0.594,NT2,POW
0.56,CNG,GAS
0.5138,PVS,PVN
0.5131,PVG,GAS
0.5123,IDI,ASM
0.51,VOS,ACV
0.51,PVT,PVN
0.5041,PVD,PVN
0.5021,VGC,GEX
0.5017,FOX,SCIC
0.498,IJC,BCM
0.486,TTN,BCM
0.4654,FRT,FPT
0.457,FOX,FPT
0.406,PGB,PLX
0.378,FMC,PAN
0.373,PSD,TVN
0.371,NTP,SCIC
0.3611,MAS,ACV
0.36,SAB,SCIC
0.36,VNM,SCIC
0.36,PVC,PVN
0.2489,DSE,FIT
0.2321,PET,PVN
0.215,SGT,KBC
0.1944,BWE,BCM
0.1837,VRE,VIC
0.15,MSB,AGR
0.1484,TCB,MSN
0.147,MBB,Viettel
0.144,MSB,MBB
0.1273,PAN,SSI
0.124,FMC,ABT
0.105,SZC,REE
0.1,EIB,GEX
0.0983,MBB,SCIC
0.091,SGP,CTG
0.0901,ORS,TPB
0.088,HDB,AGR
0.0744,SGP,VPB
0.068,TPB,FPT
0.0575,FPT,SCIC
0.056,PC1,VIX
0.054,VDS,EIB
0.0528,LHC,PHR
0.05,ELC,SSI
0.05,DBC,SSI
0.05,TVD,REE
0.049,VOS,ACB
0.049,APG,SHS
0.049,HDG,VCI
0.048,SBT,VNM
0.046,TTN,IJC
0.045,EIB,VCB
0.044,MBB,VCB
0.043,SHS,TLH
0.043,VAB,EIB
0.041,PET,SSI
0.04,RAL,VDS
0.038,HDC,CTS
0.038,TDG,APG
0.037,DPM,BID
0.037,VTO,STB
0.036,EIB,VIX
0.035,TIS,CTG
0.035,KBC,SIP
0.035,TTF,SAM
0.035,GEX,VIX
0.034,ABB,VND
0.034,PET,HCM
0.032,GEX,VCI
0.03,CII,TVS
0.026,PVT,ACB
0.025,HAH,VSC
0.024,IJC,BID
0.024,MSB,GMD
0.023,NT2,BID
0.023,PVP,TVS
0.023,NKG,VCI
0.023,EVF,ABB
0.023,NVB,GMD
0.02,VIB,REE
0.016,LBM,SSI
0.015,SHB,SHS
0.014,PVT,VND
0.014,LCG,TPB
0.014,VCS,SSI
0.014,VGC,VIX
0.014,LCG,SSI
0.013,ILB,MBS
0.013,CEO,VIX
0.013,AAM,ABT
0.013,IDI,MBS
0.012,TPB,SSI
0.011,HDC,VND
0.011,VJC,HDB
0.011,HDB,BID
0.01,DPM,ACB
0.008,HCM,HDB
0.007,EIB,ACB
0.007,NLG,HCM
0.006,TTF,AGR
0.006,HCM,CII
0.005,VCG,BID
0.004,PVD,SSI
0.004,VCG,TCB
0.004,HAG,SSI
0.002,PVD,VCB
0.002,TMS,SSI
0.002,HPG,MBS
0.001,HAH,TMS
0.001,HUT,VDS
0.001,HT1,VCI
