vi_caption,category_code,en_caption,report_type
"I.Tiền mặt, vàng bạc, đá quý",BS_110,"Cash, precious metals, gemstones",balance_sheet
II.Tiền gửi tại Ngân hàng Nhà nước,BS_120,Deposits at the Central Bank,balance_sheet
III. Tiền gửi và cho vay các tổ chức tín dụng khác,BS_130,Deposits and loans to other credit institutions,balance_sheet
1.Tiền gửi tại các tổ chức tín dụng khác,BS_131,Deposits at other credit institutions,balance_sheet
2.Cho vay các tổ chức tín dụng khác,BS_132,Loans to other credit institutions,balance_sheet
3.Dự phòng rủi ro cho vay các tổ chức tín dụng khác,BS_139,Provision for risks on loans to other credit institutions,balance_sheet
IV.Chứng khoán kinh doanh,BS_140,Trading securities,balance_sheet
1.Chứng khoán kinh doanh,BS_141,Trading securities,balance_sheet
2.Dự phòng giảm giá chứng khoán kinh doanh,BS_149,Provision for devaluation of trading securities,balance_sheet
V.Các công cụ tài chính phái sinh và các tài sản tài chính khác,BS_150,Derivative financial instruments and other financial assets,balance_sheet
VI.Cho vay khách hàng,BS_160,Loans to customers,balance_sheet
1.Cho vay khách hàng,BS_161,Loans to customers,balance_sheet
2.Dự phòng rủi ro cho vay khách hàng,BS_169,Provision for risks on loans to customers,balance_sheet
VIII.Chứng khoán đầu tư,BS_170,Investment securities,balance_sheet
1.Chứng khoán đầu tư sẵn sàng để bán,BS_171,Available-for-sale investment securities,balance_sheet
2.Chứng khoán đầu tư giữ đến ngày đáo hạn,BS_172,Held-to-maturity investment securities,balance_sheet
3.Dự phòng giảm giá chứng khoán đầu tư,BS_179,Provision for devaluation of investment securities,balance_sheet
VII. Hoạt động mua nợ,BS_180,Debt purchasing activities,balance_sheet
1. Mua nợ,BS_181,Debt purchases,balance_sheet
2. Dự phòng rủi ro hoạt động mua nợ,BS_189,Provision for risks on debt purchasing activities,balance_sheet
IX.Góp vốn đầu tư dài hạn,BS_210,Long-term capital investments,balance_sheet
1.Đầu tư vào công ty con,BS_211,Investments in subsidiaries,balance_sheet
2.Vốn góp liên doanh,BS_212,Joint venture capital,balance_sheet
3.Đầu tư vào công ty liên kết,BS_213,Investments in associated companies,balance_sheet
4.Đầu tư dài hạn khác,BS_214,Other long-term investments,balance_sheet
5.Dự phòng giảm giá đầu tư dài hạn,BS_219,Provision for devaluation of long-term investments,balance_sheet
X.Tài sản cố định,BS_220,Fixed assets,balance_sheet
1.Tài sản cố định hữu hình,BS_221,Tangible fixed assets,balance_sheet
a.Nguyên giá tài sản cố định hữu hình,BS_222,Original cost of fixed assets,balance_sheet
b.Hao mòn tài sản cố định hữu hình,BS_223,Depreciation of fixed assets,balance_sheet
2.Tài sản cố định thuê tài chính,BS_224,Finance lease fixed assets,balance_sheet
