category_code,en_caption,vi_caption,report_type
BS_100,A. CURRENT ASSETS,A. TÀI SẢN NGẮN HẠN,balance_sheet
BS_110,I. Financial Assets,I. Tài sản tài chính,balance_sheet
BS_111,1. Cash and cash equivalents,1. Tiền và các khoản tương đương tiền,balance_sheet
BS_111.1,1.1. Cash,1.1. Tiền,balance_sheet
BS_111.2,1.2. Cash equivalents,1.2. Các khoản tương đương tiền,balance_sheet
BS_112,2. Financial assets at fair value through profit or loss (FVTPL),2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),balance_sheet
BS_113,3. Held-to-maturity investments (HTM),3. Các khoản đầu tư giữ đến ngày đáo hạn (HTM),balance_sheet
BS_114,4. Loans,4. Các khoản cho vay,balance_sheet
BS_115,5. Available-for-sale financial assets (AFS),5. Các tài sản tài chính sẵn sàng để bán (AFS),balance_sheet
BS_116,6. Provision for impairment of financial assets and collateral,6. Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thế chấp,balance_sheet
BS_117,7. Receivables,7. Các khoản phải thu,balance_sheet
BS_117.1,7.1. Receivables from sale of financial assets,7.1. Phải thu bán các tài sản tài chính,balance_sheet
BS_117.2,7.2. Dividends and interest receivables from financial assets,"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",balance_sheet
BS_117.4,7.2.2. Accrued dividends and interest not yet due,"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",balance_sheet
BS_118,Advances to suppliers,Trả trước cho người bán,balance_sheet
BS_119,8. Receivables from securities services provided,9. Phải thu các dịch vụ CTCK cung cấp,balance_sheet
BS_120,9. Internal receivables,10. Phải thu nội bộ,balance_sheet
BS_121,10. Receivables from securities transaction errors,11. Phải thu về lỗi giao dịch chứng khoán,balance_sheet
BS_122,11. Other receivables,12. Các khoản phải thu khác,balance_sheet
BS_129,12. Provision for impairment of receivables (*),13. Dự phòng suy giảm giá trị các khoản phải thu (*),balance_sheet
BS_130,II. Other Current Assets,II.Tài sản ngắn hạn khác,balance_sheet
BS_131,1. Advances,1. Tạm ứng,balance_sheet
BS_132,"2. Office supplies, tools, and instruments","2. Vật tư văn phòng, công cụ, dụng cụ",balance_sheet
BS_133,3. Short-term prepaid expenses,3. Chi phí trả trước ngắn hạn,balance_sheet
BS_134,4. Short-term deposits and collateral,"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",balance_sheet
BS_135,5. Deductible value-added tax (VAT),5. Thuế giá trị gia tăng được khấu trừ,balance_sheet
BS_136,6. Taxes and other receivables from the government,6. Thuế và các khoản khác phải thu Nhà nước,balance_sheet
BS_137,7. Other current assets,5. Tài sản ngắn hạn khác,balance_sheet
BS_200,B. NON-CURRENT ASSETS,B.TÀI SẢN DÀI HẠN,balance_sheet
BS_210,I. Long-term Financial Assets,I. Tài sản tài chính dài hạn,balance_sheet
BS_211,1. Long-term receivables,1. Các khoản phải thu dài hạn,balance_sheet
BS_212,2. Investments,2. Các khoản đầu tư,balance_sheet
BS_212.1,2.1. Held-to-maturity investments (HTM),2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,balance_sheet
BS_212.2,2.2. Investments in subsidiaries,2.2. Đầu tư vào công ty con,balance_sheet
BS_212.3,2.3. Investments in joint ventures and associates,"2.3. Đầu tư vào công ty liên doanh, liên kết",balance_sheet
BS_212.4,2.4. Other long-term investments,2.4. Đầu tư dài hạn khác,balance_sheet
BS_220,II. Fixed Assets,II. Tài sản cố định,balance_sheet
BS_221,1. Tangible fixed assets,1. Tài sản cố định hữu hình,balance_sheet
BS_222,Original cost,- Nguyên giá,balance_sheet
BS_223a,Accumulated depreciation,- Giá trị hao mòn lũy kế,balance_sheet
BS_227,3. Intangible fixed assets,3. Tài sản cố định vô hình,balance_sheet
BS_228,Original cost,- Nguyên giá,balance_sheet
BS_229a,Accumulated depreciation,- Giá trị hao mòn lũy kế,balance_sheet
BS_230,III. Investment Properties,III. Bất động sản đầu tư,balance_sheet
BS_231,Original cost,- Nguyên giá,balance_sheet
BS_2321,Accumulated depreciation,- Giá trị hao mòn lũy kế,balance_sheet
BS_240,IV. Construction in Progress,IV. Chi phí xây dựng cơ bản dở dang,balance_sheet
BS_250,V. Other Long-term Assets,V. Tài sản dài hạn khác,balance_sheet
BS_251,1. Long-term deposits and collateral,"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",balance_sheet
BS_252,2. Long-term prepaid expenses,2. Chi phí trả trước dài hạn,balance_sheet
BS_253,3. Deferred tax assets,3. Tài sản thuế thu nhập hoãn lại,balance_sheet
BS_254,4. Contributions to the Clearing Support Fund,4. Tiền nộp Quỹ Hỗ trợ thanh toán,balance_sheet
BS_255,5. Other long-term assets,5. Tài sản dài hạn khác,balance_sheet
BS_270,TOTAL ASSETS,TỔNG CỘNG TÀI SẢN,balance_sheet
BS_300,C. LIABILITIES,C. NỢ PHẢI TRẢ,balance_sheet
BS_310,I. Current Liabilities,I. Nợ phải trả ngắn hạn,balance_sheet
BS_311,1. Short-term borrowings and financial lease liabilities,1. Vay và nợ thuê tài sản tài chính ngắn hạn,balance_sheet
BS_312,1.1. Short-term borrowings,1.1. Vay ngắn hạn,balance_sheet
BS_313,1.2. Short-term financial lease liabilities,1.2. Nợ thuê tài sản tài chính ngắn hạn,balance_sheet
BS_314,2. Short-term financial borrowings,2. Vay tài sản tài chính ngắn hạn,balance_sheet
BS_315,3. Convertible bonds - short term,3. Trái phiếu chuyển đổi ngắn hạn,balance_sheet
BS_316,4. Short-term issued bonds,4. Trái phiếu phát hành ngắn hạn,balance_sheet
BS_317,5. Borrowings from the Clearing Support Fund,5. Vay Quỹ Hỗ trợ thanh toán,balance_sheet
BS_318,6. Payables from securities transactions,6. Phải trả hoạt động giao dịch chứng khoán,balance_sheet
