corp,corp_code,securities,sec_code,bank,bank_code,en_caption,category_code
A. CURRENT ASSETS,BS_100,A. CURRENT ASSETS,BS_100,,,(Balance sheet) A. CURRENT ASSETS,BS_100
,,I. Financial Assets,BS_110,,,(Balance sheet) (Securities) Financial Assets,BS_101
I. Cash and cash equivalents,BS_110,1. Cash and cash equivalents,BS_111,,,(Balance sheet) Cash and cash equivalents,BS_110
Cash,BS_111,1.1. Cash,BS_111.1,"Cash, precious metals, gemstones",BS_110,(Balance sheet) Cash,BS_111
,,,,Deposits at the Central Bank,BS_120,(Balance sheet) (Bank) Deposits at the Central Bank,BS_112
Cash equivalents,BS_112,1.2. Cash equivalents,BS_111.2,,,(Balance sheet) Cash equivalents,BS_113
,,,,Deposits and loans to other credit institutions,BS_130,(Balance sheet) (Bank) Deposits and loans to other credit institutions,BS_114
,,,,Deposits at other credit institutions,BS_131,(Balance sheet) (Bank) Deposits at other credit institutions,BS_115
,,,,Loans to other credit institutions,BS_132,(Balance sheet) (Bank) Loans to other credit institutions,BS_116
,,,,Provision for risks on loans to other credit institutions,BS_139,(Balance sheet) (Bank) Provision for risks on loans to other credit institutions,BS_117
,,2. Financial assets at fair value through profit or loss (FVTPL),BS_112,,,(Balance sheet) (Securities) Financial assets at fair value through profit or loss (FVTPL),BS_118
,,5. Available-for-sale financial assets (AFS),BS_115,,,(Balance sheet) (Securities) Available-for-sale financial assets (AFS),BS_119
II. Short-term financial investments,BS_120,,,,,(Balance sheet) Short-term financial investments,BS_120
Trading securities,BS_121,,,Trading securities,BS_140,(Balance sheet) Trading securities,BS_121
,,,,Trading securities,BS_141,(Balance sheet) (Bank) Total Trading securities,BS_122
Provision for decline in value of trading securities,BS_122,6. Provision for impairment of financial assets and collateral,BS_116,Provision for devaluation of trading securities,BS_149,(Balance sheet) Provision for devaluation of trading securities,BS_123
,,,,Derivative financial instruments and other financial assets,BS_150,(Balance sheet) (Bank) Derivative financial instruments and other financial assets,BS_124
,,,,Loans to customers,BS_160,(Balance sheet) (Bank) Loans to customers,BS_125
,,,,Loans to customers,BS_161,(Balance sheet) (Bank) Total Loans to customers,BS_126
,,,,Provision for risks on loans to customers,BS_169,(Balance sheet) (Bank) Provision for risks on loans to customers,BS_127
,,,,Investment securities,BS_170,(Balance sheet) (Bank) Investment securities,BS_128
,,,,Available-for-sale investment securities,BS_171,(Balance sheet) (Bank) Available-for-sale investment securities,BS_129
Held-to-maturity investments,BS_123,3. Held-to-maturity investments (HTM),BS_113,Held-to-maturity investment securities,BS_172,(Balance sheet) Held-to-maturity investment (HTM) short-terms,BS_130
,,,,Provision for devaluation of investment securities,BS_179,(Balance sheet) (Bank) Provision for devaluation of investment securities,BS_131
,,,,Debt purchasing activities,BS_180,(Balance sheet) (Bank) Debt purchasing activities,BS_132
,,,,Debt purchases,BS_181,(Balance sheet) (Bank) Debt purchases,BS_133
,,,,Provision for risks on debt purchasing activities,BS_189,(Balance sheet) (Bank) Provision for risks on debt purchasing activities,BS_134
III. Short-term receivables,BS_130,7. Receivables,BS_117,,,(Balance sheet) Short-term receivables,BS_140
Trade receivables,BS_131,7.1. Receivables from sale of financial assets,BS_117.1,,,(Balance sheet) Trade receivables,BS_141
,,7.2. Dividends and interest receivables from financial assets,BS_117.2,,,(Balance sheet) (Securities) Dividends and interest receivables from financial assets,BS_142
,,7.2.2. Accrued dividends and interest not yet due,BS_117.4,,,(Balance sheet) (Securities) Accrued dividends and interest not yet due,BS_143
