old_caption,category_code,vi_caption,en_caption
TỔNG TÀI SẢN CÓ,BS_300,TỔNG TÀI SẢN,TOTAL ASSETS
"I.Tiền mặt, vàng bạc, đá quý",BS_110,"     Tiền mặt, vàng bạc, đá quý","Cash, gold, silver, and precious stones"
II.Tiền gửi tại Ngân hàng Nhà nước,BS_120,     Tiền gửi tại Ngân hàng nhà nước Việt Nam,Deposits at the State Bank of Vietnam
III. Tiền gửi và cho vay các tổ chức tín dụng khác,BS_130,     Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Deposits at and loans to other credit institutions
1.Tiền gửi tại các tổ chức tín dụng khác,BS_131,          Tiền gửi tại các TCTD khác,Deposits at other credit institutions
2.Cho vay các tổ chức tín dụng khác,BS_132,          Cho vay các TCTD khác,Loans to other credit institutions
3.Dự phòng rủi ro cho vay các tổ chức tín dụng khác,BS_139,          Dự phòng rủi ro,Allowance for credit losses
IV.Chứng khoán kinh doanh,BS_140,     Chứng khoán kinh doanh,Trading securities
1.Chứng khoán kinh doanh,BS_141,          Chứng khoán kinh doanh,Trading securities
2.Dự phòng giảm giá chứng khoán kinh doanh,BS_149,          Dự phòng giảm giá chứng khoán kinh doanh,Provision for impairment of trading securities
V.Các công cụ tài chính phái sinh và các tài sản tài chính khác,BS_150,     Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivative financial instruments and other financial assets
VI.Cho vay khách hàng,BS_160,     Cho vay khách hàng,Loans to customers
1.Cho vay khách hàng,BS_161,          Cho vay khách hàng,Loans to customers
2.Dự phòng rủi ro cho vay khách hàng,BS_169,          Dự phòng rủi ro cho vay khách hàng,Allowance for loan losses
VII. Hoạt động mua nợ,BS_180,     Hoạt động mua nợ,Debt purchase activities
1. Mua nợ,BS_181,          Mua nợ,Debt purchases
2. Dự phòng rủi ro hoạt động mua nợ,BS_189,          Dự phòng rủi ro hoạt động mua nợ,Allowance for impairment of debt purchase activities
VIII.Chứng khoán đầu tư,BS_170,     Chứng khoán đầu tư,Investment securities
1.Chứng khoán đầu tư sẵn sàng để bán,BS_171,          Chứng khoán đầu tư sẵn sàng để bán,Available-for-sale securities
2.Chứng khoán đầu tư giữ đến ngày đáo hạn,BS_172,          Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-maturity securities
3.Dự phòng giảm giá chứng khoán đầu tư,BS_179,          Dự phòng giảm giá chứng khoán đầu tư,Provision for impairment of investment securities
IX.Góp vốn đầu tư dài hạn,BS_210,"     Góp vốn, đầu tư dài hạn",Long-term investments
1.Đầu tư vào công ty con,BS_211,          Đầu tư vào công ty con,Investments in subsidiaries
,BS_211.1,          Đầu tư vào công ty liên doanh,Investments in joint ventures
2.Vốn góp liên doanh,BS_212,               Vốn Góp liên doanh,Capital contribution to joint ventures
3.Đầu tư vào công ty liên kết,BS_213,               Đầu tư vào công ty liên kết,Investments in associates
4.Đầu tư dài hạn khác,BS_214,          Đầu tư dài hạn khác,Other long-term investments
5.Dự phòng giảm giá đầu tư dài hạn,BS_219,          Dự phòng giảm giá đầu tư dài hạn,Provision for impairment of long-term investments
X.Tài sản cố định,BS_220,     Tài sản cố định,Fixed assets
1.Tài sản cố định hữu hình,BS_221,          Tài sản cố định hữu hình,Tangible fixed assets
a.Nguyên giá tài sản cố định hữu hình,BS_222,               Nguyên giá TSCĐ,Cost of tangible fixed assets
b.Hao mòn tài sản cố định hữu hình,BS_223,               Hao mòn TSCĐ,Accumulated depreciation of tangible fixed assets
2.Tài sản cố định thuê tài chính,BS_224,          Tài sản cố định thuê tài chính,Finance lease assets
a.Nguyên giá tài sản cố định thuê tài chính,BS_225,               Nguyên giá TSCĐ,Cost of finance lease assets
b.Hao mòn tài sản cố định thuê tài chính,BS_226,               Hao mòn TSCĐ,Accumulated depreciation of finance lease assets
3.Tài sản cố định vô hình,BS_227,          Tài sản cố định vô hình,Intangible fixed assets
a.Nguyên giá tài sản cố định vô hình,BS_228,               Nguyên giá TSCĐ,Cost of intangible fixed assets
b.Hao mòn tài sản cố định vô hình,BS_229,               Hao mòn TSCĐ,Accumulated amortization of intangible fixed assets
XI. Bất động sản đầu tư,BS_240,     Bất động sản đầu tư,Investment property
a.Nguyên giá bất động sản đầu tư,BS_241,          Nguyên giá bất động sản đầu tư,Cost of investment property
b.Hao mòn bất động sản đầu tư,BS_242,          Hao mòn bất động sản đầu tư,Accumulated depreciation of investment property
XII.Tài sản có khác,BS_250,     Tài sản Có khác,Other assets
1.Các khoản phải thu,BS_251,          Các khoản phải thu,Receivables
2.Các khoản lãi và chi phí phải thu,BS_252,          Các khoản lãi và phí phải thu,Accrued interest and fees receivable
3.Tài sản thuế TNDN hoãn lại,BS_253,          Tài sản thuế TNDN hoãn lại,Deferred tax assets
4.Tài sản có khác,BS_254,          Tài sản Có khác,Other assets
- Trong đó lợi thế thương mại,BS_255,          Trong đó: Lợi thế thương mại,Of which: Goodwill
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,BS_259,          Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Allowance for other on-balance sheet asset risks
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,BS_800,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND EQUITY
TỔNG NỢ PHẢI TRẢ,BS_400,     Tổng nợ phải trả,Total liabilities
I.Các khoản nợ chính phủ và Ngân hàng Nhà nước,BS_310,          Các khoản nợ chính phủ và NHNN Việt Nam,Amounts owed to the Government and the State Bank of Vietnam
II.Tiền gửi và vay các tổ chức tín dụng khác,BS_320,          Tiền gửi và vay các Tổ chức tín dụng khác,Deposits and borrowings from other credit institutions
1.Tiền gửi của các tổ chức tín dụng khác,BS_321,               Tiền gửi của các tổ chức tín dụng khác,Deposits from other credit institutions
2.Vay các tổ chức tín dụng khác,BS_322,               Vay các tổ chức tín dụng khác,Borrowings from other credit institutions
III.Tiền gửi của khách hàng,BS_330,          Tiền gửi của khách hàng,Customer deposits
IV.Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,BS_340,          Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Derivative financial instruments and other financial liabilities
"V. Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",BS_350,"          Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Funds for financing, investment entrustment from the Government and other credit institutions"
VI.Phát hành giấy tờ có giá,BS_360,          Phát hành giấy tờ có giá,Issuance of valuable papers
VII.Các khoản nợ khác,BS_370,          Các khoản nợ khác,Other liabilities
"1.Các khoản lãi, phí phải trả",BS_371,"               Các khoản lãi, phí phải trả",Interest and fees payable
2.Thuế thu nhập doanh nghiệp hoãn lại phải trả,BS_372,               Thuế TNDN hoãn lại phải trả,Deferred corporate income tax payable
3.Các khoản phải trả và công nợ khác,BS_373,               Các khoản phải trả và công nợ khác,Other payables and liabilities
4.Dự phòng rủi ro khác (công nợ tiềm ẩn và các cam kết ngoại bảng),BS_379,               Dự phòng rủi ro khác,Other provisions for risks
VIII.Vốn chủ sở hữu,BS_500,     VỐN CHỦ SỞ HỮU,EQUITY
1.Vốn của tổ chức tín dụng,BS_410,          Vốn của tổ chức tín dụng,Credit institution's capital
a.Vốn điều lệ,BS_411,               Vốn điều lệ,Charter capital
b.Vốn đầu tư XDCB,BS_412,               Vốn đầu tư XDCB,Capital expenditure investment fund
c.Thặng dư vốn cổ phần,BS_413,               Thặng dư vốn cổ phần,Share premium
d.Cổ phiếu quỹ,BS_414,               Cổ phiếu Quỹ,Treasury shares
e.Cổ phiếu ưu đãi,BS_415,               Cổ phiếu ưu đãi,Preferred shares
g.Vốn khác,BS_416,               Vốn khác,Other capital
2.Quỹ của Tổ chức tín dụng,BS_420,Quỹ của tổ chức tín dụng,Credit institution's funds
3.Chênh lệch tỷ giá hối đoái,BS_430,Chênh lệch tỷ giá hối đoái,Foreign exchange differences
4.Chênh lệch đánh giá lại tài sản,BS_440,Chênh lệch đánh giá lại tài sản,Asset revaluation differences
5.Lợi nhuận để lại chưa phân phối/Lỗ lũy kế,BS_450,Lợi nhuận chưa phân phối,Undistributed earnings
IX.Lợi ích của cổ đông thiểu số,BS_700,Lợi ích của cổ đông thiểu số,Non-controlling interests
I. Thu nhập lãi thuần,IS_003,Thu nhập lãi thuần,Net interest income
