old_caption,category_code,vi_caption,en_caption
A- TÀI SẢN NGẮN HẠN,BS_100,TÀI SẢN NGẮN HẠN,CURRENT ASSETS
I. Tiền và các khoản tương đương tiền,BS_110,Tiền và tương đương tiền,Cash and cash equivalents
1. Tiền,BS_111,     Tiền,Cash
2. Các khoản tương đương tiền,BS_112,     Các khoản tương đương tiền,Cash equivalents
II. Các khoản đầu tư tài chính ngắn hạn,BS_120,Giá trị thuần đầu tư ngắn hạn,Net value of short-term investments
1. Chứng khoán kinh doanh,BS_121,     Đầu tư ngắn hạn,Short-term investments
2. Dự phòng giảm giá chứng khoán kinh doanh,BS_122,     Dự phòng đầu tư ngắn hạn,Provision for short-term investments
3. Đầu tư nắm giữ đến ngày đáo hạn,BS_123,     Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investments
III. Các khoản phải thu ngắn hạn,BS_130,Các khoản phải thu,Receivables
1. Phải thu ngắn hạn của khách hàng,BS_131,     Phải thu khách hàng,Trade accounts receivable
2. Trả trước cho người bán ngắn hạn,BS_132,     Trả trước người bán,Advances to suppliers
3. Phải thu nội bộ ngắn hạn,BS_133,     Phải thu nội bộ,Intercompany receivables
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,BS_134,     Phải thu về XDCB,Receivables for capital expenditures
5. Phải thu về cho vay ngắn hạn,BS_135,     Phải thu về cho vay ngắn hạn,Receivables for short-term lending
6. Phải thu ngắn hạn khác,BS_136,     Phải thu khác,Other receivables
7. Dự phòng phải thu ngắn hạn khó đòi,BS_137,     Dự phòng nợ khó đòi,Allowance for doubtful debts
8. Tài sản Thiếu chờ xử lý,BS_139,     Tài sản thiếu chờ xử lý,Assets awaiting resolution
IV. Hàng tồn kho,BS_140,"Hàng tồn kho, ròng","Inventories, net"
1. Hàng tồn kho,BS_141,     Hàng tồn kho,Inventories
2. Dự phòng giảm giá hàng tồn kho,BS_149,     Dự phòng giảm giá HTK,Inventory provision
V.Tài sản ngắn hạn khác,BS_150,Tài sản lưu động khác,Other current assets
1. Chi phí trả trước ngắn hạn,BS_151,     Chi phí trả trước ngắn hạn,Short-term prepaid expenses
2. Thuế GTGT được khấu trừ,BS_152,     Thuế GTGT được khấu trừ,Deductible VAT
3. Thuế và các khoản khác phải thu Nhà nước,BS_153,     Phải thu thuế khác,Other tax receivables
4. Giao dịch mua bán lại trái phiếu Chính phủ,BS_154,     Giao dịch mua bán lại trái phiếu chính phủ,Government bond repurchase agreements
5. Tài sản ngắn hạn khác,BS_155,     Tài sản lưu động khác,Other current assets
B. TÀI SẢN DÀI HẠN,BS_200,TÀI SẢN DÀI HẠN,NON-CURRENT ASSETS
I. Các khoản phải thu dài hạn,BS_210,Phải thu dài hạn,Long-term receivables
