category_code,vi_caption,en_caption,parent_code
Bank_TM_2,     Chứng khoán nợ,(Explaination) Debt securities,BS_121
Bank_TM_8,     Chứng khoán vốn,(Explaination) Equity securities,BS_121
Bank_TM_12,     Chứng khoán kinh doanh khác,(Explaination) Other trading securities,BS_121
Bank_TM_13,     Dự phòng rủi ro chứng khoán kinh doanh,(Explaination) Provision for trading securities risk,BS_121
Bank_TM_17,     Tình trạng niêm yết của các chứng khoán kinh doanh,(Explaination) Listing status of trading securities,BS_121
Bank_TM_28,"     Cho vay các tổ chức kinh tế, cá nhân trong nước",(Explaination) Loans to domestic economic organizations and individuals,BS_125
Bank_TM_29,     Chiết khấu thương phiếu và giấy tờ có giá,(Explaination) Discount of commercial papers and valuable papers,BS_125
Bank_TM_30,     Cho thuê tài chính,(Explaination) Financial leasing,BS_125
Bank_TM_31,     Các khoản trả thay khách hàng,(Explaination) Payments on behalf of customers,BS_125
Bank_TM_32,"     Cho vay bằng vốn tài trợ, uỷ thác đầu tư",(Explaination) Loans funded by investment trust,BS_125
Bank_TM_33,"     Cho vay đối với các tổ chức, cá nhân nước ngoài",(Explaination) Loans to foreign organizations and individuals,BS_125
Bank_TM_34,     Cho vay theo chỉ định của Chính phủ,(Explaination) Loans designated by the Government,BS_125
Bank_TM_35,     Nợ cho vay được khoanh và nợ chờ xử lý,(Explaination) Frozen loans and loans pending resolution,BS_125
Bank_TM_36,     Các khoản cho vay khác,(Explaination) Other loans,BS_125
Bank_TM_38,Cho vay ngành thương mại,(Explaination) Loans to the trade industry,BS_125
Bank_TM_39,Cho vay ngành nông nghiệp và lâm nghiệp,(Explaination) Loans to agriculture and forestry,BS_125
Bank_TM_40,Cho vay ngành sản xuất,(Explaination) Loans to the manufacturing industry,BS_125
Bank_TM_45,Cho vay ngành xây dựng,(Explaination) Loans to the construction industry,BS_125
Bank_TM_46,Cho vay ngành dịch vụ cộng đồng và cá nhân,(Explaination) Loans to community and personal services,BS_125
Bank_TM_55,"Cho vay ngành kho bãi, vận tải và viễn thông","(Explaination) Loans to warehousing, transportation, and telecommunications",BS_125
Bank_TM_58,Cho vay ngành dịch vụ và đào tạo,(Explaination) Loans to service and training,BS_125
Bank_TM_61,Cho vay bất động sản và tư vấn,(Explaination) Loans to real estate and consulting,BS_125
Bank_TM_62,Cho vay ngành khách sạn và nhà hàng,(Explaination) Loans to hotels and restaurants,BS_125
Bank_TM_63,Cho vay ngành dịch vụ tài chính,(Explaination) Loans to financial services,BS_125
Bank_TM_64,Cho vay ngành khác,(Explaination) Loans to other industries,BS_125
Bank_TM_65,Nợ quá hạn/ Nợ xấu,(Explaination) Nonperforming Loans/Bad debts,BS_125
Bank_TM_66,Nợ đủ tiêu chuẩn (Nợ nhóm 1),(Explaination) Standard debts (Group 1 debts),BS_125
Bank_TM_67,Nợ cần chú ý (Nợ nhóm 2),(Explaination) Debts needing attention (Group 2 debts),BS_125
Bank_TM_68,Nợ dưới tiêu chuẩn (Nợ nhóm 3),(Explaination) Substandard debts (Group 3 debts),BS_125
Bank_TM_69,Nợ nghi ngờ (Nợ nhóm 4),(Explaination) Doubtful debts (Group 4 debts),BS_125
Bank_TM_70,Nợ xấu có khả năng mất vốn (Nợ nhóm 5),(Explaination) Bad debts with potential loss of capital (Group 5 debts),BS_125
Bank_TM_72,     Cho vay ngắn hạn,(Explaination) Short-term loans,BS_125
Bank_TM_73,     Cho vay trung hạn,(Explaination) Medium-term loans,BS_125
