old_caption,category_code,vi_caption,en_caption
A. TÀI SẢN NGẮN HẠN,BS_100,TÀI SẢN NGẮN HẠN,CURRENT ASSETS
I. Tài sản tài chính,BS_110,     Tài sản tài chính ngắn hạn,Short-term financial assets
1. Tiền và các khoản tương đương tiền,BS_111,          Tiền và tương đương tiền,Cash and cash equivalents
1.1. Tiền,BS_111.1,               Tiền,Cash
1.2. Các khoản tương đương tiền,BS_111.2,               Các khoản tương đương tiền,Cash equivalents
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),BS_112,          Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),Financial assets at fair value through profit or loss (FVTPL)
3. Các khoản đầu tư giữ đến ngày đáo hạn (HTM),BS_113,          Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),Held-to-maturity (HTM) investments
4. Các khoản cho vay,BS_114,          Các khoản cho vay,Loans
5. Các tài sản tài chính sẵn sàng để bán (AFS),BS_115,          Các khoản tài chính sẵn sàng để bán (AFS),Available-for-sale (AFS) financial assets
6. Dự phòng suy giảm giá trị các tài sản tài chính và tài sản thế chấp,BS_116,          Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,Provision for impairment of financial assets and collateral
7. Các khoản phải thu,BS_117,          Tổng các khoản phải thu,Total receivables
7.1. Phải thu bán các tài sản tài chính,BS_117.1,               Phải thu bán các tài sản tài chính,Receivables from sales of financial assets
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",BS_117.2,"               Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",Receivables and accrued dividends and interest on financial assets
"7.2.1. Dự thu cổ tức, tiền lãi đến ngày nhận",BS_117.3,"                    Phải thu cổ tức, tiền lãi đến ngày nhận",Receivables for dividends and interest due
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",BS_117.4,"                    Dự thu cổ tức , tiền lãi chưa đến ngày nhận",Accrued dividends and interest not yet due
Trả trước cho người bán,BS_118,          Trả trước người bán,Advances to suppliers
9. Phải thu các dịch vụ CTCK cung cấp,BS_119,          Phải thu các dịch vụ CTCK cung cấp,Receivables for securities brokerage services provided
10. Phải thu nội bộ,BS_120,          Phải thu nội bộ,Intercompany receivables
11. Phải thu về lỗi giao dịch chứng khoán,BS_121,          Phải thu về lỗi giao dịch CK,Receivables for securities trading errors
12. Các khoản phải thu khác,BS_122,          Phải thu khác,Other receivables
